-l,-f,-j,--bs,--ws,--fl,--mm,--lm,filename,orig_size,enc_size,ratio,enc_time,dec_time
0,ctx,16,32768,32768,32768,0,1,datasets/silesia/mozilla,51220480,19829327,38.7,23.175138473510742,0.3155214786529541
0,ctx,16,32768,32768,32768,0,1,datasets/silesia/osdb,10085684,4807829,47.7,4.579880475997925,0.0778813362121582
0,ctx,16,32768,32768,32768,0,1,datasets/silesia/x-ray,8474240,6132098,72.4,3.9097535610198975,0.10726737976074219
0,ctx,16,32768,32768,32768,0,1,datasets/silesia/samba,21606400,5960751,27.6,9.771296739578247,0.12258076667785645
0,ctx,16,32768,32768,32768,0,1,datasets/silesia/sao,7251944,5452465,75.2,3.329961061477661,0.07142210006713867
0,ctx,16,32768,32768,32768,0,1,AVERAGE,18781209.09090909,6618556.454545454,35.2,8.491698438471014,0.13585407083684747
0,ctx,16,32768,32768,32768,0,2,datasets/silesia/ooffice,6152192,3237869,52.6,2.8343284130096436,0.05762791633605957
0,ctx,16,32768,32768,32768,0,2,datasets/silesia/mr,9970564,3835626,38.5,4.521453142166138,0.08972668647766113
0,ctx,16,32768,32768,32768,0,2,datasets/silesia/nci,33553445,3484014,10.4,15.254496097564697,0.10003209114074707
0,ctx,16,32768,32768,32768,0,2,datasets/silesia/webster,41458703,13500303,32.6,18.64001703262329,0.3441033363342285
0,ctx,16,32768,32768,32768,0,2,datasets/silesia/reymont,6627202,2065563,31.2,3.0370686054229736,0.05899381637573242
0,ctx,16,32768,32768,32768,0,2,datasets/silesia/dickens,10192446,4289506,42.1,4.637138366699219,0.11493945121765137
0,ctx,16,32768,32768,32768,0,2,datasets/silesia/mozilla,51220480,19836485,38.7,23.646100521087646,0.31615281105041504
0,ctx,16,32768,32768,32768,0,2,datasets/silesia/osdb,10085684,4803302,47.6,4.593533515930176,0.0805807113647461
0,ctx,16,32768,32768,32768,0,2,datasets/silesia/x-ray,8474240,6134445,72.4,3.890111207962036,0.11472702026367188
0,ctx,16,32768,32768,32768,0,2,datasets/silesia/samba,21606400,5891103,27.3,9.742021799087524,0.11580657958984375
0,ctx,16,32768,32768,32768,0,2,datasets/silesia/sao,7251944,5456138,75.2,3.3436996936798096,0.06777405738830566
0,ctx,16,32768,32768,32768,0,2,AVERAGE,18781209.09090909,6594032.181818182,35.1,8.558178945021195,0.1327694979580966
0,ctx,16,32768,32768,32768,0,3,datasets/silesia/ooffice,6152192,3226584,52.4,2.833815574645996,0.057306766510009766
0,ctx,16,32768,32768,32768,0,3,datasets/silesia/mr,9970564,3837019,38.5,4.504339933395386,0.09129571914672852
0,ctx,16,32768,32768,32768,0,3,datasets/silesia/nci,33553445,3476533,10.4,15.04093074798584,0.10610342025756836
0,ctx,16,32768,32768,32768,0,3,datasets/silesia/webster,41458703,13496579,32.6,19.00524377822876,0.3670017719268799
0,ctx,16,32768,32768,32768,0,3,datasets/silesia/reymont,6627202,2066309,31.2,2.999271869659424,0.06107664108276367
0,ctx,16,32768,32768,32768,0,3,datasets/silesia/dickens,10192446,4306911,42.3,4.616012334823608,0.11696457862854004
0,ctx,16,32768,32768,32768,0,3,datasets/silesia/mozilla,51220480,19787915,38.6,23.20950937271118,0.3176732063293457
0,ctx,16,32768,32768,32768,0,3,datasets/silesia/osdb,10085684,4802770,47.6,4.611697673797607,0.0776677131652832
0,ctx,16,32768,32768,32768,0,3,datasets/silesia/x-ray,8474240,6126281,72.3,3.9056615829467773,0.10943341255187988
0,ctx,16,32768,32768,32768,0,3,datasets/silesia/samba,21606400,5888347,27.3,9.742268800735474,0.11743450164794922
0,ctx,16,32768,32768,32768,0,3,datasets/silesia/sao,7251944,5457882,75.3,3.3367996215820312,0.06697916984558105
0,ctx,16,32768,32768,32768,0,3,AVERAGE,18781209.09090909,6588466.363636363,35.1,8.527777390046554,0.13535790009932083
0,ctx,16,32768,32768,32768,0,4,datasets/silesia/ooffice,6152192,3223332,52.4,2.818176031112671,0.0590512752532959
0,ctx,16,32768,32768,32768,0,4,datasets/silesia/mr,9970564,3838429,38.5,4.53132176399231,0.09335947036743164
0,ctx,16,32768,32768,32768,0,4,datasets/silesia/nci,33553445,3464475,10.3,15.01033353805542,0.1016993522644043
0,ctx,16,32768,32768,32768,0,4,datasets/silesia/webster,41458703,13466284,32.5,18.632732629776,0.3464171886444092
0,ctx,16,32768,32768,32768,0,4,datasets/silesia/reymont,6627202,2074277,31.3,3.014993906021118,0.059403181076049805
0,ctx,16,32768,32768,32768,0,4,datasets/silesia/dickens,10192446,4297840,42.2,4.632208347320557,0.1184999942779541
0,ctx,16,32768,32768,32768,0,4,datasets/silesia/mozilla,51220480,19792500,38.6,25.88677191734314,0.33940911293029785
0,ctx,16,32768,32768,32768,0,4,datasets/silesia/osdb,10085684,4802457,47.6,5.459335088729858,0.08073878288269043
0,ctx,16,32768,32768,32768,0,4,datasets/silesia/x-ray,8474240,6126769,72.3,4.428643703460693,0.11311078071594238
0,ctx,16,32768,32768,32768,0,4,datasets/silesia/samba,21606400,5883625,27.2,10.817591428756714,0.12010407447814941
0,ctx,16,32768,32768,32768,0,4,datasets/silesia/sao,7251944,5456151,75.2,4.0193703174591064,0.07062649726867676
0,ctx,16,32768,32768,32768,0,4,AVERAGE,18781209.09090909,6584194.454545454,35.1,9.022861697457053,0.13658361001448197
0,ctx,16,65536,32768,32768,10,0,datasets/silesia/ooffice,6152192,3231541,52.5,1.6678099632263184,0.06774187088012695
0,ctx,16,65536,32768,32768,10,0,datasets/silesia/mr,9970564,3783642,37.9,2.590528726577759,0.10661697387695312
0,ctx,16,65536,32768,32768,10,0,datasets/silesia/nci,33553445,3960994,11.8,8.793643474578857,0.12299966812133789
0,ctx,16,65536,32768,32768,10,0,datasets/silesia/webster,41458703,13796076,33.3,10.883150339126587,0.3937859535217285
0,ctx,16,65536,32768,32768,10,0,datasets/silesia/reymont,6627202,2176182,32.8,1.7817847728729248,0.06632161140441895
0,ctx,16,65536,32768,32768,10,0,datasets/silesia/dickens,10192446,4353924,42.7,2.7515604496002197,0.12851572036743164
0,ctx,16,65536,32768,32768,10,0,datasets/silesia/mozilla,51220480,19920223,38.9,13.651278018951416,0.3521265983581543
0,ctx,16,65536,32768,32768,10,0,datasets/silesia/osdb,10085684,4403269,43.7,2.6300384998321533,0.08574604988098145
0,ctx,16,65536,32768,32768,10,0,datasets/silesia/x-ray,8474240,6059660,71.5,2.2002265453338623,0.1208958625793457
0,ctx,16,65536,32768,32768,10,0,datasets/silesia/samba,21606400,5951246,27.5,5.290101528167725,0.13579535484313965
0,ctx,16,65536,32768,32768,10,0,datasets/silesia/sao,7251944,5460029,75.3,1.8542132377624512,0.07738065719604492
0,ctx,16,65536,32768,32768,10,0,AVERAGE,18781209.09090909,6645162.363636363,35.4,4.9176668687300245,0.15072057463906027
0,ctx,16,65536,32768,32768,10,1,datasets/silesia/ooffice,6152192,3194410,51.9,1.553612470626831,0.06036090850830078
0,ctx,16,65536,32768,32768,10,1,datasets/silesia/mr,9970564,3822006,38.3,2.512401580810547,0.10006952285766602
0,ctx,16,65536,32768,32768,10,1,datasets/silesia/nci,33553445,3640602,10.9,8.666691780090332,0.11246085166931152
0,ctx,16,65536,32768,32768,10,1,datasets/silesia/webster,41458703,13472482,32.5,9.548362493515015,0.37218284606933594
0,ctx,16,65536,32768,32768,10,1,datasets/silesia/reymont,6627202,2102845,31.7,1.5429644584655762,0.06163763999938965
0,ctx,16,65536,32768,32768,10,1,datasets/silesia/dickens,10192446,4286922,42.1,2.3212671279907227,0.12257242202758789
0,ctx,16,65536,32768,32768,10,1,datasets/silesia/mozilla,51220480,19628181,38.3,11.590503931045532,0.32541751861572266
0,ctx,16,65536,32768,32768,10,1,datasets/silesia/osdb,10085684,4348524,43.1,2.6857385635375977,0.08045077323913574
0,ctx,16,65536,32768,32768,10,1,datasets/silesia/x-ray,8474240,6049176,71.4,2.178656816482544,0.11557149887084961
0,ctx,16,65536,32768,32768,10,1,datasets/silesia/samba,21606400,5788444,26.8,5.142947673797607,0.12913227081298828
