-l,-f,-j,-k,--bs,--ws,--fl,--mm,--lm,filename,orig_size,enc_size,ratio,enc_time,dec_time
0,turbo2,8,16,16777216,16777216,16777216,0,2,datasets/enwik/enwik8,100000000,29757398,29.757398,719.2442650794983,1.9399118423461914
0,turbo2,8,16,16777216,16777216,16777216,0,2,AVERAGE,100000000.0,29757398.0,29.757398,719.2442650794983,1.9399118423461914
0,turbo2,8,16,33554432,33554432,33554432,0,1,datasets/enwik/enwik8,100000000,29249363,29.249363,749.7441668510437,2.0221445560455322
0,turbo2,8,16,33554432,33554432,33554432,0,1,AVERAGE,100000000.0,29249363.0,29.249363,749.7441668510437,2.0221445560455322
0,turbo2,8,16,33554432,33554432,33554432,0,2,datasets/enwik/enwik8,100000000,29084403,29.084403,1054.7643904685974,2.1527087688446045
0,turbo2,8,16,33554432,33554432,33554432,0,2,AVERAGE,100000000.0,29084403.0,29.084403,1054.7643904685974,2.1527087688446045
0,turbo2,4,2,4194304,4194304,4194304,0,1,datasets/enwik/enwik8,100000000,31386068,31.386068,79.09229254722595,2.034572124481201
0,turbo2,4,2,4194304,4194304,4194304,0,1,AVERAGE,100000000.0,31386068.0,31.386068,79.09229254722595,2.034572124481201
0,turbo2,4,2,4194304,4194304,4194304,0,2,datasets/enwik/enwik8,100000000,31162584,31.162584,97.06097269058228,2.1686224937438965
0,turbo2,4,2,4194304,4194304,4194304,0,2,AVERAGE,100000000.0,31162584.0,31.162584,97.06097269058228,2.1686224937438965
0,turbo2,4,2,8388608,8388608,8388608,0,1,datasets/enwik/enwik8,100000000,30665480,30.66548,130.04687643051147,1.967085599899292
0,turbo2,4,2,8388608,8388608,8388608,0,1,AVERAGE,100000000.0,30665480.0,30.66548,130.04687643051147,1.967085599899292
0,turbo2,4,2,8388608,8388608,8388608,0,2,datasets/enwik/enwik8,100000000,30462868,30.462868,177.04870200157166,2.0767745971679688
0,turbo2,4,2,8388608,8388608,8388608,0,2,AVERAGE,100000000.0,30462868.0,30.462868,177.04870200157166,2.0767745971679688
0,turbo2,4,2,16777216,16777216,16777216,0,1,datasets/enwik/enwik8,100000000,29940534,29.940534,290.45849204063416,1.9911227226257324
0,turbo2,4,2,16777216,16777216,16777216,0,1,AVERAGE,100000000.0,29940534.0,29.940534,290.45849204063416,1.9911227226257324
0,turbo2,4,2,16777216,16777216,16777216,0,2,datasets/enwik/enwik8,100000000,29757398,29.757398,401.070992231369,2.0946884155273438
0,turbo2,4,2,16777216,16777216,16777216,0,2,AVERAGE,100000000.0,29757398.0,29.757398,401.070992231369,2.0946884155273438
0,turbo2,4,2,33554432,33554432,33554432,0,1,datasets/enwik/enwik8,100000000,29249363,29.249363,572.0814764499664,2.0366568565368652
0,turbo2,4,2,33554432,33554432,33554432,0,1,AVERAGE,100000000.0,29249363.0,29.249363,572.0814764499664,2.0366568565368652
0,turbo2,4,2,33554432,33554432,33554432,0,2,datasets/enwik/enwik8,100000000,29084403,29.084403,791.6785840988159,2.0896689891815186
0,turbo2,4,2,33554432,33554432,33554432,0,2,AVERAGE,100000000.0,29084403.0,29.084403,791.6785840988159,2.0896689891815186
0,turbo2,4,4,4194304,4194304,4194304,0,1,datasets/enwik/enwik8,100000000,31386068,31.386068,101.04221224784851,2.0262722969055176
0,turbo2,4,4,4194304,4194304,4194304,0,1,AVERAGE,100000000.0,31386068.0,31.386068,101.04221224784851,2.0262722969055176
0,turbo2,4,4,4194304,4194304,4194304,0,2,datasets/enwik/enwik8,100000000,31162584,31.162584,136.03958582878113,2.1400952339172363
0,turbo2,4,4,4194304,4194304,4194304,0,2,AVERAGE,100000000.0,31162584.0,31.162584,136.03958582878113,2.1400952339172363
0,turbo2,4,4,8388608,8388608,8388608,0,1,datasets/enwik/enwik8,100000000,30665480,30.66548,138.12509751319885,1.9731876850128174
0,turbo2,4,4,8388608,8388608,8388608,0,1,AVERAGE,100000000.0,30665480.0,30.66548,138.12509751319885,1.9731876850128174
0,turbo2,4,4,8388608,8388608,8388608,0,2,datasets/enwik/enwik8,100000000,30462868,30.462868,193.05139183998108,2.0595345497131348
0,turbo2,4,4,8388608,8388608,8388608,0,2,AVERAGE,100000000.0,30462868.0,30.462868,193.05139183998108,2.0595345497131348
0,turbo2,4,4,16777216,16777216,16777216,0,1,datasets/enwik/enwik8,100000000,29940534,29.940534,251.31907677650452,1.9899649620056152
0,turbo2,4,4,16777216,16777216,16777216,0,1,AVERAGE,100000000.0,29940534.0,29.940534,251.31907677650452,1.9899649620056152
0,turbo2,4,4,16777216,16777216,16777216,0,2,datasets/enwik/enwik8,100000000,29757398,29.757398,354.10327792167664,2.088498592376709
0,turbo2,4,4,16777216,16777216,16777216,0,2,AVERAGE,100000000.0,29757398.0,29.757398,354.10327792167664,2.088498592376709
0,turbo2,4,4,33554432,33554432,33554432,0,1,datasets/enwik/enwik8,100000000,29249363,29.249363,498.4049599170685,2.053187131881714
0,turbo2,4,4,33554432,33554432,33554432,0,1,AVERAGE,100000000.0,29249363.0,29.249363,498.4049599170685,2.053187131881714
0,turbo2,4,4,33554432,33554432,33554432,0,2,datasets/enwik/enwik8,100000000,29084403,29.084403,693.796270608902,1.9685523509979248
0,turbo2,4,4,33554432,33554432,33554432,0,2,AVERAGE,100000000.0,29084403.0,29.084403,693.796270608902,1.9685523509979248
0,turbo2,4,8,4194304,4194304,4194304,0,1,datasets/enwik/enwik8,100000000,31386068,31.386068,225.04965615272522,2.0426528453826904
0,turbo2,4,8,4194304,4194304,4194304,0,1,AVERAGE,100000000.0,31386068.0,31.386068,225.04965615272522,2.0426528453826904
0,turbo2,4,8,4194304,4194304,4194304,0,2,datasets/enwik/enwik8,100000000,31162584,31.162584,311.06046891212463,2.130018711090088
0,turbo2,4,8,4194304,4194304,4194304,0,2,AVERAGE,100000000.0,31162584.0,31.162584,311.06046891212463,2.130018711090088
0,turbo2,4,8,8388608,8388608,8388608,0,1,datasets/enwik/enwik8,100000000,30665480,30.66548,239.05674195289612,2.0477373600006104
0,turbo2,4,8,8388608,8388608,8388608,0,1,AVERAGE,100000000.0,30665480.0,30.66548,239.05674195289612,2.0477373600006104
0,turbo2,4,8,8388608,8388608,8388608,0,2,datasets/enwik/enwik8,100000000,30462868,30.462868,344.06951427459717,2.0792040824890137
0,turbo2,4,8,8388608,8388608,8388608,0,2,AVERAGE,100000000.0,30462868.0,30.462868,344.06951427459717,2.0792040824890137
0,turbo2,4,8,16777216,16777216,16777216,0,1,datasets/enwik/enwik8,100000000,29940534,29.940534,334.31600689888,1.9593839645385742
