file,format,block_size,window_size,future_limit,max_matches,len3_dist_bits,len4_dist_bits,len5_dist_bits,len6_dist_bits,len7_dist_bits,lenx_dist_bits,lenx_len_bits
big_files/enwik6,fse,32768,8192,64,128,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,64,1024,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,64,999999999,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,128,1,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,128,4,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,128,16,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,128,128,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,128,1024,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,128,999999999,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,256,1,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,256,4,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,256,16,0,0,0,0,0,0,0
