filename,compressor,level,orig_size,enc_size,ratio_percent,enc_time,dec_time
AVERAGE,zstd,3,100000000.0,35445335.0,35.445335,0.12312405299962847,0.09988877800060436
datasets/enwik/enwik8,zstd,4,100000000,34762517,34.762516999999995,0.22454310600005556,0.10379492900028708
AVERAGE,zstd,4,100000000.0,34762517.0,34.762516999999995,0.22454310600005556,0.10379492900028708
datasets/enwik/enwik8,zstd,5,100000000,33744231,33.744231,0.2390803739999683,0.09951286000068649
AVERAGE,zstd,5,100000000.0,33744231.0,33.744231,0.2390803739999683,0.09951286000068649
datasets/enwik/enwik8,zstd,6,100000000,32669481,32.669481,0.27349041500019666,0.09315498899923114
AVERAGE,zstd,6,100000000.0,32669481.0,32.669481,0.27349041500019666,0.09315498899923114
datasets/enwik/enwik8,zstd,7,100000000,32074672,32.074672,0.3777277859990136,0.09875101800025732
AVERAGE,zstd,7,100000000.0,32074672.0,32.074672,0.3777277859990136,0.09875101800025732
datasets/enwik/enwik8,zstd,8,100000000,31654021,31.654021,0.4357798000000912,0.09145510300004389
AVERAGE,zstd,8,100000000.0,31654021.0,31.654021,0.4357798000000912,0.09145510300004389
datasets/enwik/enwik8,zstd,9,100000000,31129515,31.129515,0.6034908069996163,0.09660670799894433
AVERAGE,zstd,9,100000000.0,31129515.0,31.129515,0.6034908069996163,0.09660670799894433
datasets/enwik/enwik8,zstd,10,100000000,30697512,30.697512,0.90070095900046,0.10021755500019935
AVERAGE,zstd,10,100000000.0,30697512.0,30.697512,0.90070095900046,0.10021755500019935
datasets/enwik/enwik8,zstd,11,100000000,30491656,30.491656,1.5310956390003412,0.10355663100017409
AVERAGE,zstd,11,100000000.0,30491656.0,30.491656,1.5310956390003412,0.10355663100017409
datasets/enwik/enwik8,zstd,12,100000000,30418850,30.41885,1.7285841689990775,0.11248646700005338
AVERAGE,zstd,12,100000000.0,30418850.0,30.41885,1.7285841689990775,0.11248646700005338
datasets/enwik/enwik8,zstd,13,100000000,30033243,30.033243,3.843822263999755,0.10216387299988128
AVERAGE,zstd,13,100000000.0,30033243.0,30.033243,3.843822263999755,0.10216387299988128
datasets/enwik/enwik8,zstd,14,100000000,29862780,29.86278,4.548921690000498,0.10219915000016044
AVERAGE,zstd,14,100000000.0,29862780.0,29.86278,4.548921690000498,0.10219915000016044
datasets/enwik/enwik8,zstd,15,100000000,29544530,29.54453,6.312487104998581,0.10236339900075109
AVERAGE,zstd,15,100000000.0,29544530.0,29.54453,6.312487104998581,0.10236339900075109
datasets/enwik/enwik8,zstd,16,100000000,28467173,28.467173000000003,6.361264895998829,0.11004745199898025
AVERAGE,zstd,16,100000000.0,28467173.0,28.467173000000003,6.361264895998829,0.11004745199898025
datasets/enwik/enwik8,zstd,17,100000000,27709040,27.70904,16.631156584000564,0.11620654000034847
AVERAGE,zstd,17,100000000.0,27709040.0,27.70904,16.631156584000564,0.11620654000034847
datasets/enwik/enwik8,zstd,18,100000000,27333983,27.333983,19.604385284001182,0.12050509999971837
AVERAGE,zstd,18,100000000.0,27333983.0,27.333983,19.604385284001182,0.12050509999971837
datasets/enwik/enwik8,zstd,19,100000000,26944227,26.944226999999998,23.945346459000575,0.146872635001273
AVERAGE,zstd,19,100000000.0,26944227.0,26.944226999999998,23.945346459000575,0.146872635001273
datasets/enwik/enwik8,zstd,20,100000000,25953970,25.953969999999998,70.21552077399974,0.147454108000602
AVERAGE,zstd,20,100000000.0,25953970.0,25.953969999999998,70.21552077399974,0.147454108000602
datasets/enwik/enwik8,zstd,21,100000000,25486727,25.486727,74.17036698500124,0.17550044900053763
AVERAGE,zstd,21,100000000.0,25486727.0,25.486727,74.17036698500124,0.17550044900053763
datasets/enwik/enwik8,zstd,22,100000000,25272471,25.272471000000003,86.81623536499865,0.18640416400012327
AVERAGE,zstd,22,100000000.0,25272471.0,25.272471000000003,86.81623536499865,0.18640416400012327
datasets/enwik/enwik8,brotli,0,100000000,41951501,41.951501,0.3504592490007781,0.31592289800028084
AVERAGE,brotli,0,100000000.0,41951501.0,41.951501,0.3504592490007781,0.31592289800028084
datasets/enwik/enwik8,brotli,1,100000000,39601458,39.601458,0.41129121799895074,0.3006577939995623
AVERAGE,brotli,1,100000000.0,39601458.0,39.601458,0.41129121799895074,0.3006577939995623
datasets/enwik/enwik8,brotli,2,100000000,36948512,36.948512,0.8372071020000007,0.24438784500000565
AVERAGE,brotli,2,100000000.0,36948512.0,36.948512,0.8372071020000007,0.24438784500000565
datasets/enwik/enwik8,brotli,3,100000000,36692210,36.692209999999996,0.8154170590000049,0.22935160800000176
AVERAGE,brotli,3,100000000.0,36692210.0,36.692209999999996,0.8154170590000049,0.22935160800000176
datasets/enwik/enwik8,brotli,4,100000000,33426985,33.426984999999995,1.5660671460000017,0.2281606399999987
AVERAGE,brotli,4,100000000.0,33426985.0,33.426984999999995,1.5660671460000017,0.2281606399999987
datasets/enwik/enwik8,brotli,5,100000000,31772726,31.772726000000002,2.6275546970000008,0.23281419200000641
