compressor | file | ratio in % | compression time | decompression time | compression memory in MB | decompression memory in MB
zstd_2 | enwik8.2 | 37.327525 | 0.51 | 0.51 | 291.43 | 151.36
zstd_3 | enwik8.2 | 35.386039 | 0.51 | 0.51 | 13.04 | 217.74
zstd_4 | enwik8.2 | 34.698157 | 0.51 | 0.51 | 151.36 | 217.74
zstd_5 | enwik8.2 | 33.681359 | 1.02 | 0.51 | 1676.74 | 217.74
zstd_6 | enwik8.2 | 32.604253 | 1.02 | 0.51 | 1676.74 | 217.74
zstd_7 | enwik8.2 | 32.007407 | 1.03 | 0.51 | 1714.24 | 217.74
zstd_8 | enwik8.2 | 31.582156 | 1.53 | 0.51 | 1687.87 | 151.36
zstd_9 | enwik8.2 | 31.053916 | 1.53 | 0.51 | 1654.02 | 219.74
zstd_10 | enwik8.2 | 30.618978 | 2.05 | 0.51 | 1801.46 | 151.36
zstd_11 | enwik8.2 | 30.409749 | 3.06 | 0.51 | 1801.46 | 219.74
zstd_12 | enwik8.2 | 30.336523 | 3.55 | 0.51 | 2021.46 | 219.74
zstd_13 | enwik8.2 | 29.953694 | 5.57 | 0.51 | 1982.02 | 219.74
zstd_14 | enwik8.2 | 29.780843 | 7.08 | 0.51 | 2174.02 | 155.74
zstd_15 | enwik8.2 | 29.461265 | 8.60 | 0.51 | 2366.02 | 151.36
zstd_16 | enwik8.2 | 28.386613 | 9.10 | 0.51 | 1983.75 | 219.74
zstd_17 | enwik8.2 | 27.611243 | 19.69 | 0.51 | 1787.87 | 151.36
zstd_18 | enwik8.2 | 27.235221 | 22.21 | 0.51 | 1791.55 | 223.74
zstd_19 | enwik8.2 | 26.829431 | 28.77 | 0.51 | 1983.55 | 223.74
zstd_20 | enwik8.2 | 25.750196 | 98.48 | 0.51 | 3482.93 | 247.74
zstd_21 | enwik8.2 | 25.127879 | 170.99 | 0.51 | 5849.68 | 279.74
zstd_22 | enwik8.2 | 24.637113 | 196.22 | 0.51 | 11546.68 | 343.74
lzmpo_0 | enwik8.2 | 27.736330 | 36.64 | 5.57 | 7812.33 | 738.51
lzmpo_1 | enwik8.2 | 25.914887 | 203.60 | 5.07 | 7812.33 | 654.72
lzmpo_2 | enwik8.2 | 25.629414 | 58.41 | 5.06 | 9338.21 | 642.55
lzmpo_3 | enwik8.2 | 24.839551 | 156.32 | 5.07 | 9338.21 | 612.74
lzmpo_4 | enwik8.2 | 24.526532 | 154.11 | 5.06 | 12952.41 | 602.76
lzmpo_5 | enwik8.2 | 24.478183 | 207.35 | 5.06 | 12952.41 | 600.28
lzmpo_6 | enwik8.2 | 24.462971 | 293.76 | 5.06 | 12952.41 | 599.69
brotli_q0 | enwik8.3 | 41.605602 | 1.52 | 1.01 | 6.88 | 29.75
brotli_q1 | enwik8.3 | 39.244897 | 1.52 | 1.01 | 7.88 | 29.75
brotli_q2 | enwik8.3 | 36.566748 | 2.53 | 1.02 | 38.93 | 29.75
brotli_q3 | enwik8.3 | 36.303028 | 2.53 | 1.02 | 38.64 | 29.75
brotli_q4 | enwik8.3 | 32.984522 | 5.56 | 1.02 | 118.32 | 22.69
brotli_q5 | enwik8.3 | 31.365722 | 8.60 | 1.01 | 99.86 | 22.84
brotli_q6 | enwik8.3 | 30.551753 | 13.15 | 1.02 | 100.68 | 22.86
brotli_q7 | enwik8.3 | 29.776922 | 24.27 | 1.02 | 103.84 | 22.85
brotli_q8 | enwik8.3 | 29.076848 | 41.45 | 1.02 | 110.96 | 22.85
brotli_q9 | enwik8.3 | 28.449209 | 77.88 | 1.02 | 128.61 | 22.85
brotli_q10 | enwik8.3 | 25.784382 | 267.96 | 1.02 | 241.11 | 22.55
brotli_q11 | enwik8.3 | 25.290932 | 479.80 | 1.01 | 235.93 | 22.43
xz_0 | enwik8.3 | 36.623023 | 1.54 | 0.51 | 1297.45 | 18.27
xz_1 | enwik8.3 | 33.106847 | 3.06 | 0.51 | 1448.57 | 21.66
xz_2 | enwik8.3 | 31.786287 | 7.18 | 0.51 | 1675.13 | 26.60
xz_3 | enwik8.3 | 30.986536 | 15.28 | 0.51 | 2137.12 | 36.44
xz_4 | enwik8.3 | 27.877311 | 15.29 | 0.51 | 2393.12 | 36.06
xz_5 | enwik8.3 | 26.467881 | 20.73 | 0.51 | 2564.98 | 55.11
xz_6 | enwik8.3 | 26.311083 | 21.75 | 0.51 | 2564.98 | 55.07
xz_7 | enwik8.3 | 25.580724 | 42.42 | 1.02 | 2126.82 | 512.16
xz_8 | enwik8.3 | 24.880808 | 84.35 | 1.02 | 1907.75 | 485.98
xz_9 | enwik8.3 | 24.306245 | 156.75 | 2.03 | 2266.72 | 508.32
zstd_1 | enwik8.3 | 40.263898 | 0.51 | 0.51 | 10.68 | 4.49
zstd_2 | enwik8.3 | 36.965560 | 0.51 | 0.51 | 151.36 | 151.36
zstd_3 | enwik8.3 | 35.037997 | 0.51 | 0.51 | 367.43 | 217.74
zstd_4 | enwik8.3 | 34.350729 | 1.03 | 0.51 | 1631.84 | 217.74
zstd_5 | enwik8.3 | 33.337027 | 1.03 | 0.51 | 1631.80 | 217.74
zstd_6 | enwik8.3 | 32.267183 | 1.03 | 0.51 | 1639.84 | 217.74
zstd_7 | enwik8.3 | 31.671190 | 1.52 | 0.51 | 1714.24 | 151.36
zstd_8 | enwik8.3 | 31.251565 | 1.55 | 0.51 | 1714.24 | 217.74
zstd_9 | enwik8.3 | 30.720183 | 2.05 | 0.51 | 2016.23 | 219.74
zstd_10 | enwik8.3 | 30.287348 | 3.09 | 0.51 | 2203.68 | 151.36
zstd_11 | enwik8.3 | 30.076268 | 5.14 | 0.51 | 2192.30 | 219.74
zstd_12 | enwik8.3 | 30.004659 | 5.13 | 0.51 | 2512.30 | 219.74
zstd_13 | enwik8.3 | 29.630569 | 8.66 | 0.51 | 2384.30 | 219.74
zstd_14 | enwik8.3 | 29.454404 | 10.19 | 0.51 | 2640.30 | 219.74
zstd_15 | enwik8.3 | 29.139715 | 13.77 | 0.51 | 2896.30 | 219.74
zstd_16 | enwik8.3 | 28.074655 | 15.31 | 0.51 | 2434.55 | 219.74
zstd_17 | enwik8.3 | 27.311796 | 21.72 | 0.51 | 2222.15 | 223.74
zstd_18 | enwik8.3 | 26.939174 | 23.74 | 0.51 | 2227.67 | 223.74
zstd_19 | enwik8.3 | 26.537648 | 30.31 | 0.51 | 2515.67 | 223.74
zstd_20 | enwik8.3 | 25.449474 | 111.71 | 0.52 | 3836.68 | 247.74
zstd_21 | enwik8.3 | 24.796650 | 224.95 | 0.51 | 6491.93 | 279.74
zstd_22 | enwik8.3 | 24.193596 | 286.57 | 0.51 | 11546.68 | 343.74
brotli_q0 | enwik8.4 | 41.257654 | 1.52 | 1.52 | 10.79 | 29.75
brotli_q1 | enwik8.4 | 38.916416 | 2.03 | 1.52 | 7.88 | 29.75
brotli_q2 | enwik8.4 | 36.254813 | 3.04 | 1.02 | 38.93 | 29.75
brotli_q3 | enwik8.4 | 35.987574 | 3.55 | 1.02 | 38.64 | 29.75
brotli_q4 | enwik8.4 | 32.710164 | 8.10 | 1.02 | 118.32 | 22.69
brotli_q5 | enwik8.4 | 31.088419 | 10.62 | 1.01 | 99.86 | 22.84
brotli_q6 | enwik8.4 | 30.284668 | 16.19 | 1.02 | 100.68 | 22.86
brotli_q7 | enwik8.4 | 29.518456 | 35.88 | 1.02 | 103.84 | 22.85
brotli_q8 | enwik8.4 | 28.824923 | 75.79 | 1.52 | 110.96 | 22.85
brotli_q9 | enwik8.4 | 28.201602 | 139.48 | 1.52 | 128.61 | 22.85
brotli_q10 | enwik8.4 | 25.554358 | 391.59 | 2.02 | 241.11 | 22.79
lzmpo_0 | enwik8.3 | 27.273680 | 59.56 | 8.09 | 11701.70 | 1046.31
lzmpo_1 | enwik8.3 | 25.386814 | 390.38 | 7.59 | 11054.73 | 917.33
lzmpo_2 | enwik8.3 | 25.064698 | 93.98 | 7.59 | 13343.55 | 896.80
lzmpo_3 | enwik8.3 | 24.212584 | 302.58 | 7.09 | 13343.55 | 849.04
lzmpo_4 | enwik8.3 | 23.831832 | 217.32 | 7.09 | 17921.20 | 830.90
lzmpo_5 | enwik8.3 | 23.780902 | 314.77 | 7.09 | 17921.20 | 827.12
lzmpo_6 | enwik8.3 | 23.764321 | 484.64 | 7.09 | 17921.20 | 826.14
brotli_q11 | enwik8.4 | 25.068637 | 667.77 | 1.53 | 235.93 | 22.53
xz_0 | enwik8.4 | 36.260673 | 2.04 | 0.51 | 1245.13 | 47.33
xz_1 | enwik8.4 | 32.800916 | 3.57 | 0.51 | 1451.58 | 34.69
xz_2 | enwik8.4 | 31.494564 | 8.18 | 0.51 | 1681.14 | 26.60
xz_3 | enwik8.4 | 30.703102 | 15.80 | 0.51 | 2197.14 | 36.44
xz_4 | enwik8.4 | 27.664034 | 16.36 | 0.51 | 2393.12 | 36.06
xz_5 | enwik8.4 | 26.275332 | 21.44 | 0.51 | 3417.09 | 55.11
xz_6 | enwik8.4 | 26.096109 | 21.96 | 0.51 | 3417.09 | 55.07
xz_7 | enwik8.4 | 25.377995 | 38.37 | 1.02 | 2832.87 | 679.18
xz_8 | enwik8.4 | 24.686300 | 75.81 | 1.02 | 2540.78 | 644.50
xz_9 | enwik8.4 | 24.011827 | 187.20 | 2.03 | 2266.72 | 625.75
zstd_1 | enwik8.4 | 39.913429 | 0.51 | 0.51 | 253.43 | 216.24
zstd_2 | enwik8.4 | 36.653011 | 0.51 | 0.51 | 291.43 | 216.74
zstd_3 | enwik8.4 | 34.753473 | 0.51 | 0.51 | 367.43 | 217.74
zstd_4 | enwik8.4 | 34.070394 | 1.02 | 0.51 | 1669.24 | 151.36
zstd_5 | enwik8.4 | 33.056894 | 1.03 | 0.51 | 1647.87 | 217.74
zstd_6 | enwik8.4 | 31.997016 | 1.03 | 0.51 | 1676.74 | 217.74
zstd_7 | enwik8.4 | 31.407759 | 1.53 | 0.51 | 1714.24 | 151.36
zstd_8 | enwik8.4 | 30.988180 | 2.04 | 0.51 | 1714.24 | 217.74
zstd_9 | enwik8.4 | 30.455713 | 2.04 | 0.51 | 2048.37 | 151.36
zstd_10 | enwik8.4 | 30.029717 | 3.58 | 0.51 | 2208.37 | 219.74
zstd_11 | enwik8.4 | 29.824264 | 5.12 | 0.51 | 2208.37 | 219.74
zstd_12 | enwik8.4 | 29.753478 | 5.63 | 0.51 | 2528.37 | 219.74
zstd_13 | enwik8.4 | 29.391238 | 9.67 | 0.51 | 2400.37 | 219.74
zstd_14 | enwik8.4 | 29.218745 | 11.70 | 0.51 | 2656.37 | 219.74
zstd_15 | enwik8.4 | 28.906810 | 15.26 | 0.51 | 2944.23 | 219.74
zstd_16 | enwik8.4 | 27.865110 | 15.78 | 0.51 | 2434.55 | 219.74
zstd_17 | enwik8.4 | 27.096912 | 24.25 | 0.51 | 2592.44 | 151.36
zstd_18 | enwik8.4 | 26.726862 | 26.77 | 0.51 | 2663.80 | 223.74
zstd_19 | enwik8.4 | 26.319889 | 34.36 | 0.51 | 3047.80 | 223.74
zstd_20 | enwik8.4 | 25.227538 | 108.22 | 1.02 | 3836.68 | 247.74
zstd_21 | enwik8.4 | 24.561739 | 230.74 | 1.02 | 6491.93 | 279.74
zstd_22 | enwik8.4 | 23.931701 | 411.58 | 1.02 | 11546.68 | 279.74
lzmpo_0 | enwik8.4 | 26.953721 | 71.77 | 10.13 | 14830.82 | 1347.31
lzmpo_1 | enwik8.4 | 25.051731 | 408.76 | 9.63 | 14755.98 | 1174.12
lzmpo_2 | enwik8.4 | 24.704312 | 118.27 | 9.63 | 17349.05 | 1144.47
lzmpo_3 | enwik8.4 | 23.821061 | 327.63 | 9.12 | 17349.05 | 1078.81
lzmpo_4 | enwik8.4 | 23.397650 | 313.28 | 9.12 | 24075.73 | 1052.05
lzmpo_5 | enwik8.4 | 23.343843 | 434.92 | 9.12 | 24075.73 | 1046.82
lzmpo_6 | enwik8.4 | 23.325397 | 710.60 | 9.12 | 24075.73 | 1045.35
brotli_q0 | enwik8.6 | 36.445380 | 2.54 | 2.03 | 6.88 | 29.75
brotli_q1 | enwik8.6 | 34.193527 | 2.54 | 1.53 | 7.88 | 29.75
brotli_q2 | enwik8.6 | 31.756623 | 4.06 | 1.52 | 39.12 | 29.75
brotli_q3 | enwik8.6 | 31.378367 | 4.56 | 1.52 | 39.21 | 29.75
brotli_q4 | enwik8.6 | 28.418919 | 8.11 | 1.52 | 118.32 | 22.70
brotli_q5 | enwik8.6 | 26.893673 | 11.65 | 1.52 | 99.86 | 22.97
brotli_q6 | enwik8.6 | 26.203006 | 17.73 | 1.53 | 100.68 | 22.86
brotli_q7 | enwik8.6 | 25.546722 | 36.96 | 1.53 | 103.84 | 22.85
brotli_q8 | enwik8.6 | 24.959443 | 79.01 | 2.03 | 110.96 | 22.85
brotli_q9 | enwik8.6 | 24.433219 | 160.54 | 2.03 | 128.61 | 22.85
brotli_q10 | enwik8.6 | 22.096866 | 536.63 | 2.03 | 241.11 | 22.79
brotli_q11 | enwik8.6 | 21.650825 | 965.50 | 2.03 | 247.03 | 22.53
xz_0 | enwik8.6 | 31.379789 | 2.05 | 0.51 | 1249.14 | 37.55
xz_1 | enwik8.6 | 28.362908 | 4.60 | 0.52 | 1451.58 | 34.69
xz_2 | enwik8.6 | 27.214230 | 10.21 | 0.51 | 1699.15 | 26.60
xz_3 | enwik8.6 | 26.528921 | 20.93 | 1.02 | 2197.14 | 643.11
xz_4 | enwik8.6 | 24.263303 | 20.94 | 1.02 | 2393.12 | 577.51
xz_5 | enwik8.6 | 22.982042 | 32.08 | 1.02 | 3609.12 | 888.00
xz_6 | enwik8.6 | 22.622329 | 33.60 | 1.02 | 3585.12 | 879.88
xz_7 | enwik8.6 | 22.045984 | 42.93 | 1.02 | 4244.98 | 995.44
xz_8 | enwik8.6 | 21.479509 | 79.80 | 1.52 | 3806.84 | 943.99
xz_9 | enwik8.6 | 20.942086 | 173.97 | 2.03 | 3395.76 | 916.73
zstd_1 | enwik8.6 | 34.573858 | 0.51 | 0.51 | 253.43 | 216.24
zstd_2 | enwik8.6 | 31.874167 | 0.51 | 0.51 | 291.43 | 216.74
zstd_3 | enwik8.6 | 30.276398 | 1.02 | 0.51 | 1650.49 | 217.74
zstd_4 | enwik8.6 | 29.723074 | 1.53 | 1.02 | 1669.24 | 217.74
zstd_5 | enwik8.6 | 28.717860 | 1.53 | 1.02 | 1676.74 | 217.74
zstd_6 | enwik8.6 | 27.768200 | 1.53 | 1.02 | 1639.84 | 217.74
zstd_7 | enwik8.6 | 27.258638 | 2.03 | 1.02 | 1714.24 | 217.74
zstd_8 | enwik8.6 | 26.854560 | 2.55 | 1.02 | 1714.24 | 217.74
zstd_9 | enwik8.6 | 26.398399 | 3.08 | 1.02 | 2053.68 | 219.74
zstd_10 | enwik8.6 | 26.033502 | 4.61 | 1.02 | 2208.37 | 219.74
zstd_11 | enwik8.6 | 25.851590 | 7.16 | 1.02 | 2208.37 | 219.74
zstd_12 | enwik8.6 | 25.794897 | 7.68 | 1.02 | 2528.37 | 219.74
zstd_13 | enwik8.6 | 25.499380 | 12.22 | 1.02 | 2400.37 | 219.74
zstd_14 | enwik8.6 | 25.345134 | 15.28 | 1.02 | 2656.37 | 219.74
zstd_15 | enwik8.6 | 25.070286 | 19.87 | 1.02 | 2912.37 | 219.74
zstd_16 | enwik8.6 | 24.231772 | 20.90 | 1.02 | 2434.55 | 219.74
zstd_17 | enwik8.6 | 23.533766 | 29.06 | 1.02 | 3235.74 | 223.74
zstd_18 | enwik8.6 | 23.230760 | 33.18 | 1.02 | 3245.55 | 223.74
zstd_19 | enwik8.6 | 22.810635 | 52.55 | 1.02 | 3725.43 | 223.74
zstd_20 | enwik8.6 | 21.892447 | 114.20 | 1.02 | 4544.18 | 183.74
zstd_21 | enwik8.6 | 21.316278 | 254.98 | 1.02 | 7134.18 | 279.74
